URG Flag Count,Fwd Packet Length Mean,Avg Fwd Segment Size,Down/Up Ratio,Packet Length Min,Protocol,Bwd Packet Length Min,CWE Flag Count,ACK Flag Count,Fwd Packet Length Min,Packet Length Mean,Avg Bwd Segment Size,Bwd Packet Length Mean,Fwd Packet Length Max,Avg Packet Size
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,447.5862
0,432.8,432.8,0.0,296.0,17,0.0,0,0,296.0,432.97562,0.0,0.0,440.0,443.8
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,448.8
0,388.57144,388.57144,0.0,80.0,17,0.0,0,0,80.0,392.0,0.0,0.0,440.0,420.0
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,448.8
0,6.0,6.0,0.0,6.0,6,6.0,0,1,6.0,6.0,6.0,6.0,6.0,6.1764708
0,432.21622,432.21622,0.0,152.0,17,0.0,0,0,152.0,432.32,0.0,0.0,440.0,438.16217
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,550.0
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,450.0
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,450.0
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,454.66666
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,467.5
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,452.94116
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,458.33334
0,434.85715,434.85715,0.0,296.0,17,0.0,0,0,296.0,434.94736,0.0,0.0,440.0,442.7143
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,443.72882
0,435.0345,435.0345,0.0,296.0,17,0.0,0,0,296.0,435.11865,0.0,0.0,440.0,442.6207
0,396.8,396.8,0.0,224.0,17,0.0,0,0,224.0,400.72726,0.0,0.0,440.0,440.8
0,6.0,6.0,0.0,6.0,6,6.0,0,1,6.0,6.0,6.0,6.0,6.0,6.3333335
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,443.0137
0,6.0,6.0,0.0,6.0,6,6.0,0,1,6.0,6.0,6.0,6.0,6.0,6.5
0,424.0,424.0,0.0,152.0,17,0.0,0,0,152.0,424.43243,0.0,0.0,440.0,436.22223
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,458.33334
0,416.0,416.0,0.0,152.0,17,0.0,0,0,152.0,416.96,0.0,0.0,440.0,434.33334
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,550.0
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,442.22223
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,495.0
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,444.07407
0,344.0,344.0,0.0,152.0,17,0.0,0,0,152.0,357.7143,0.0,0.0,440.0,417.33334
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,447.5862
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,476.66666
0,434.66666,434.66666,0.0,296.0,17,0.0,0,0,296.0,434.76364,0.0,0.0,440.0,442.81482
0,431.0,431.0,0.0,368.0,17,0.0,0,0,368.0,431.52942,0.0,0.0,440.0,458.5
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,444.68085
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,467.5
0,6.0,6.0,0.0,6.0,6,0.0,0,1,6.0,6.0,0.0,0.0,6.0,7.5
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,445.5
0,437.42856,437.42856,0.0,368.0,17,0.0,0,0,368.0,437.4737,0.0,0.0,440.0,445.2857
0,6.0,6.0,0.0,6.0,6,0.0,0,1,6.0,6.0,0.0,0.0,6.0,7.0
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,442.3158
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,442.3913
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,444.68085
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,443.7931
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,513.3333
0,418.82352,418.82352,0.0,80.0,17,0.0,0,0,80.0,419.42856,0.0,0.0,440.0,431.7647
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,444.31372
0,436.4,436.4,0.0,368.0,17,0.0,0,0,368.0,436.4878,0.0,0.0,440.0,447.4
0,600.0,600.0,0.0,600.0,17,0.0,0,0,600.0,600.0,0.0,0.0,600.0,900.0
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,451.57895
0,440.0,440.0,0.0,440.0,17,0.0,0,0,440.0,440.0,0.0,0.0,440.0,442.71606
